DISCORD ID,DRIVER,PENALTY,PENALTY,SEVERITY,RECORD,CATEGORY,NOTES
,GuetzliBoy,CL8S8,Reminder,1 (Minor),no offence,Swerving,(5:35) Swerve cause mass-chain reaction of swerving and ppl goin off-track * likely ping related
,Guetzliboy,CL8S9,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(16:03)
,hanadi,UL12R8,Reminder,2 (Moderate),no offence,Aggressive Driving - Crashing/Cutting Off,https://youtu.be/pUgw6mdiXow?t=1380
,Hank,JL11R1,Reminder,1 (Minor),no offence,Leaving open lanes,https://youtu.be/iW_k6-u5HmI?t=742
,Hetmenneke,SL8R2,3 race  SL + 1 Race in CL,5 (Absolute),2nd offence,Targeting driver on track – Multiple wreckless driving accounts - 2nd offence of same rule,Direct attack of other driver during SL. SL status must be reinstated by jury. (no less then mid-season break)
,Hetmenneke,SL7R6,Absolute Warning,4 (Severe),1st offence,Committing & conspiring to commit unsportsmanlike conduct + SERVER abuse,Public boasting of rules exploits. Committing & conspiring unsportsmanlike conduct.
,Hetmenneke,SL11R9,CONNECTION,4 (Severe),CONNECTION,Lobby Boot / Lag STorm, 2nd issue in 3 races - SLO review
,Hetmenneke,SLX7,Grid Penalty in CL/SL,4 (Severe),2nd offence,Unsportsmanlike conduct,Excessive and agressive swearing in chat at another player - and in voice chat during commentary
,Hetmenneke,JL4R1,Reminder,1 (Minor),no offence,Careless Driving - Unsafe Track Re-entry,(13:34)
,Hetmenneke,May '23,Season Ban,5 (Absolute),CONTRACT,Cancelling a FT contract mid-season,Must wait until end of season to Race
,Hetmenneke,SLX7,Warning,1 (Minor),1st offence,Chatting During Race,Excessive and agressive swearing in chat at another player
,Hnandi,SLX5,Pre-Penalty,None,2nd offence,Agressive Driving,Gave Spot back to Rhozzim pre-penalty
,hnandi,SL11R1,Reminder,1 (Minor),no offence,Agressive Driving - Divebomb Drawing Penalty,"(5:23) Do not choose a lane that isnt open, running off track into another racer"
,Hnandi,SL8R4,Reminder,1 (Minor),no offence,Careless driving,Reminded to maintain control and to learn patterns of lag in individual drivers
,hnandi,SL11R8,Reminder,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,(14:31)
,hnandi,SL11R2,Reminder,1 (Minor),no offence,Careless driving - Pitlane Violation,(23:34) Leave lanes open in pits for other to exit safely
,hnandi,SL11R5,Reminder,1 (Minor),no offence,Unsafe Track Re-Entry,(4:16)
,hnandi,UL12R3,Reminder 2,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://youtu.be/D8rKVJnREOg?t=939
,Hnandi,SLX6,Time-Penalty (5s),2 (Moderate),3rd offence,Agressive Driving,5s penalty - 3rd offence
,Hnandi,SL9R6,Warning,1 (Minor),1st offence,Careless driving,Reminded to maintain control and to learn patterns of lag in individual drivers
,hnandi,UL12R9,Warning,1 (Minor),no offence,Careless Driving - Leaving Open Lanes,https://cdn.discordapp.com/attachments/1118853982920646677/1119053522076434493/ul12r9_L13_15secsbefore.mp4
,Hypermustang,JL5R1,Reminder,1 (Minor),no offence,Aggressive Driving - Bumping/Swerving ,(6:05) retaliated to being cutoff
,Hypermustang,CL8S5,Reminder,1 (Minor),no offence,Careless Driving - Divebombing,(7:15)
